date,gross,fees,slippage,funding,net
2024-05-27,0.0,-0.0005,-0.0003,-0.0,-0.0007999999999999999
2024-05-28,0.01301267258737463,-0.0,-0.0,-3.5749000000000006e-05,0.01297692358737463
2024-05-29,-0.019418368633717646,-0.0,-0.0,-8.805999999999976e-06,-0.019427174633717646
2024-05-30,-0.011589247411508654,-0.0,-0.0,-1.5114000000000011e-05,-0.011604361411508654
2024-05-31,0.01421870030281971,-0.0,-0.0,1.4528000000000014e-05,0.014233228302819709
2024-06-01,-0.00325304626562084,-0.0,-0.0,2.3404999999999977e-05,-0.00322964126562084
2024-06-02,-0.0012923551766666813,-0.0,-0.0,-9.090000000000003e-06,-0.0013014451766666813
2024-06-03,-0.010539711663107122,-0.00030000000000000003,-0.00018,-1.3014999999999976e-05,-0.011032726663107121
2024-06-04,0.00014521844277324333,-0.0,-0.0,-6.184000000000014e-06,0.00013903444277324332
2024-06-05,-0.0061878517067740614,-0.0,-0.0,3.9365e-05,-0.006148486706774061
2024-06-06,-0.01357108494711953,-0.0,-0.0,-1.911899999999999e-05,-0.013590203947119529
2024-06-07,-0.018971034395402077,-0.0,-0.0,-5.057400000000002e-05,-0.019021608395402078
2024-06-08,-0.013667936217664212,-0.0,-0.0,-5.4342e-05,-0.013722278217664212
2024-06-09,0.01327278441506259,-0.0,-0.0,-3.0000000000000004e-05,0.013242784415062589
2024-06-10,-0.0036245581946380842,-0.0004,-0.00023999999999999998,-3.0371000000000008e-05,-0.004294929194638085
2024-06-11,0.010791361688271365,-0.0,-0.0,3.3121000000000004e-05,0.010824482688271365
2024-06-12,-0.0022418938618518074,-0.0,-0.0,5.212700000000001e-05,-0.0021897668618518075
2024-06-13,-0.004934101196359897,-0.0,-0.0,3.866400000000001e-05,-0.004895437196359897
2024-06-14,0.009271158640385616,-0.0,-0.0,0.000228519,0.009499677640385616
2024-06-15,0.013822701998352884,-0.0,-0.0,1.579499999999999e-05,0.013838496998352885
2024-06-16,0.007167452136081632,-0.0,-0.0,0.00014078900000000002,0.007308241136081631
2024-06-17,-0.0021294331172044714,-0.0006000000000000001,-0.00036,8.259900000000001e-05,-0.0030068341172044717
2024-06-18,0.009112798097322525,-0.0,-0.0,-0.00012784900000000003,0.008984949097322526
2024-06-19,0.005971646324687807,-0.0,-0.0,-6.445999999999999e-05,0.005907186324687807
2024-06-20,-0.011131066688372392,-0.0,-0.0,7.960000000000005e-07,-0.011130270688372391
2024-06-21,0.0074837256115190785,-0.0,-0.0,2.9019999999999997e-05,0.007512745611519079
2024-06-22,0.00782417491733014,-0.0,-0.0,-2.3472e-05,0.00780070291733014
2024-06-23,0.0032253323606410197,-0.0,-0.0,2.9607e-05,0.0032549393606410197
2024-06-24,-0.03364655786187074,-0.0004,-0.00023999999999999998,4.610100000000001e-05,-0.03424045686187074
2024-06-25,0.006254040796409465,-0.0,-0.0,-0.000150077,0.006103963796409465
2024-06-26,0.022396089082929026,-0.0,-0.0,-0.000717549,0.021678540082929024
2024-06-27,0.003971332951045592,-0.0,-0.0,-0.00014129900000000003,0.003830033951045592
2024-06-28,0.01809555722264038,-0.0,-0.0,-8.9766e-05,0.01800579122264038
2024-06-29,0.019445685578933804,-0.0,-0.0,-0.00044879900000000005,0.018996886578933805
2024-06-30,-0.012757208174369485,-0.0,-0.0,-0.0002557180000000001,-0.013012926174369485
2024-07-01,0.016783824662657,-0.0003,-0.00017999999999999998,-0.00021348800000000004,0.016090336662657
2024-07-02,-0.005401100388266045,-0.0,-0.0,-0.000228845,-0.005629945388266045
2024-07-03,0.0016665907509297974,-0.0,-0.0,-3.2584000000000005e-05,0.0016340067509297974
2024-07-04,0.015571500066896725,-0.0,-0.0,-3.624699999999998e-05,0.015535253066896725
2024-07-05,0.04031818485372646,-0.0,-0.0,-0.000354759,0.039963425853726454
2024-07-06,-0.023822945362473712,-0.0,-0.0,-0.0004954579999999999,-0.024318403362473713
2024-07-07,-0.010551822942873823,-0.0,-0.0,-7.434999999999996e-06,-0.010559257942873823
2024-07-08,0.010621827461678314,-0.0002,-0.00011999999999999999,-3.804100000000001e-05,0.010263786461678312
2024-07-09,-0.015001650295798538,-0.0,-0.0,-0.00016608499999999998,-0.015167735295798538
2024-07-10,0.00563462420205071,-0.0,-0.0,-0.00016699000000000003,0.00546763420205071
2024-07-11,0.025571121879839044,-0.0,-0.0,-0.00016341900000000002,0.025407702879839043
2024-07-12,0.00962382216054315,-0.0,-0.0,-0.00022247600000000007,0.009401346160543151
2024-07-13,0.005573343422002963,-0.0,-0.0,-5.0841e-05,0.005522502422002962
2024-07-14,7.966884347432226e-05,-0.0,-0.0,-0.00011049,-3.0821156525677736e-05
2024-07-15,-0.05005866024723703,-0.00039999999999999996,-0.00023999999999999995,-2.455400000000001e-05,-0.050723214247237025
2024-07-16,-0.012020336457923785,-0.0,-0.0,-0.00025067100000000005,-0.012271007457923786
2024-07-17,-0.0051265738386378715,-0.0,-0.0,-0.00023972999999999998,-0.005366303838637871
2024-07-18,0.0027934628363452414,-0.0,-0.0,-0.000137129,0.002656333836345241
2024-07-19,-0.008811700590974124,-0.0,-0.0,-0.0003826000000000001,-0.009194300590974125
2024-07-20,-0.0008848291215686642,-0.0,-0.0,-0.00027976400000000005,-0.0011645931215686642
